epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,17837,0.73956,0.40222,0.88553,0.88193,0.85895,0.89503,0.58768,1.16125,0.6084,1.06228,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,18043.3,0.73278,0.40142,0.88692,0.88586,0.85261,0.8948,0.58727,1.15996,0.60905,1.06129,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,18249.9,0.73016,0.40042,0.8855,0.88348,0.85826,0.89576,0.58829,1.16025,0.61117,1.06234,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,18456.6,0.72376,0.39318,0.88227,0.87533,0.86563,0.89383,0.58891,1.1592,0.60991,1.06287,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,18663,0.71736,0.39336,0.88073,0.88345,0.85656,0.89292,0.58677,1.15886,0.61041,1.06416,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,18869.4,0.70926,0.38748,0.87937,0.88905,0.84842,0.89167,0.58774,1.16047,0.61168,1.06582,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,19075.7,0.7095,0.388,0.8777,0.88836,0.84815,0.88997,0.58814,1.16151,0.61272,1.06554,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,19282.2,0.70086,0.38509,0.87513,0.88539,0.85576,0.88922,0.58821,1.16228,0.61569,1.06649,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,19488.7,0.69515,0.38185,0.87766,0.89239,0.84719,0.89003,0.58725,1.16174,0.61441,1.06736,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,19695.2,0.69408,0.37935,0.87345,0.88253,0.85638,0.88924,0.58629,1.16323,0.61711,1.06833,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,19901.7,0.68372,0.37589,0.87257,0.87687,0.85869,0.89001,0.58644,1.16158,0.61557,1.06764,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,20108.1,0.67292,0.37067,0.86949,0.88581,0.85295,0.88914,0.58579,1.16136,0.61572,1.06839,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,20314.6,0.67038,0.36804,0.86936,0.88865,0.85406,0.89025,0.58702,1.16118,0.61486,1.06983,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,20521.2,0.66796,0.37091,0.86721,0.8898,0.85468,0.8899,0.58626,1.16286,0.61701,1.07139,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,20727.8,0.66419,0.36831,0.86592,0.89286,0.85227,0.88997,0.58629,1.16441,0.61865,1.07157,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,20934.1,0.6548,0.35961,0.8653,0.89135,0.85431,0.8912,0.5864,1.16233,0.61518,1.07051,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,21140.8,0.65348,0.35909,0.86275,0.89267,0.85276,0.8923,0.58611,1.16152,0.61544,1.07103,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,21347.3,0.64095,0.35608,0.86409,0.89684,0.85161,0.89241,0.58782,1.16116,0.61578,1.07244,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,21553.7,0.64062,0.35386,0.86217,0.89577,0.85043,0.89232,0.58839,1.16035,0.61667,1.07292,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,21760.1,0.62702,0.34828,0.85763,0.89723,0.85071,0.89195,0.5878,1.16083,0.6148,1.07317,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
