epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,12166.6,0.95885,0.52482,1.15599,0.89388,0.84501,0.89974,0.58146,1.23289,0.64164,1.37392,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,12392.2,0.95117,0.517,1.15637,0.88601,0.84702,0.89724,0.58069,1.23699,0.63885,1.37111,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,12617.8,0.95291,0.52321,1.15413,0.88723,0.84408,0.89815,0.58254,1.23913,0.63217,1.3824,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,12843.6,0.93753,0.5104,1.14729,0.87668,0.85296,0.89939,0.58289,1.23328,0.63395,1.37632,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,13069.1,0.93534,0.50926,1.14726,0.88369,0.84787,0.8994,0.58648,1.22545,0.63488,1.36801,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,13294.7,0.93236,0.50702,1.14039,0.88427,0.85233,0.90202,0.58592,1.23505,0.63123,1.37153,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,13519.9,0.93298,0.50285,1.13737,0.86764,0.86377,0.90048,0.58656,1.2295,0.63321,1.36275,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,13745.5,0.91575,0.4995,1.13324,0.88037,0.85645,0.90037,0.58676,1.22777,0.63992,1.37198,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,13971.3,0.91195,0.49626,1.12819,0.87943,0.85418,0.89932,0.58461,1.23609,0.63716,1.37709,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,14197.3,0.90325,0.4917,1.12169,0.88429,0.84558,0.89779,0.5876,1.23209,0.63893,1.37775,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,14423.2,0.89665,0.48436,1.1229,0.87951,0.85256,0.89442,0.58728,1.2279,0.63136,1.37947,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,14649.1,0.89279,0.47956,1.11641,0.88235,0.85452,0.89651,0.5889,1.22901,0.62719,1.38309,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
