epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2134.08,1.17756,0.74364,1.03529,0.82703,0.75019,0.83199,0.50055,1.3816,0.83456,1.12657,0.00107288,0.00107288,0.00107288
56,2172.42,1.13868,0.72181,1.02502,0.86232,0.75374,0.84875,0.51706,1.35252,0.81293,1.1231,0.00106188,0.00106188,0.00106188
57,2210.86,1.17312,0.73744,1.03918,0.8331,0.757,0.83465,0.49508,1.39423,0.83857,1.12023,0.00105088,0.00105088,0.00105088
58,2249.25,1.15619,0.74317,1.02698,0.81283,0.76176,0.84314,0.5143,1.33053,0.81977,1.10797,0.00103987,0.00103987,0.00103987
59,2287.66,1.14381,0.71708,1.03061,0.83412,0.76254,0.83401,0.50458,1.35731,0.84342,1.12383,0.00102887,0.00102887,0.00102887
60,2326.07,1.16955,0.73381,1.02534,0.86311,0.75799,0.8473,0.51571,1.32599,0.82272,1.09385,0.00101787,0.00101787,0.00101787
61,2364.42,1.12768,0.70212,1.02085,0.80213,0.6864,0.77834,0.4439,1.488,0.99565,1.15649,0.00100687,0.00100687,0.00100687
62,2402.8,1.1401,0.71941,1.02383,0.85247,0.76347,0.84126,0.50753,1.35458,0.81704,1.11584,0.000995866,0.000995866,0.000995866
63,2441.17,1.14627,0.70536,1.02242,0.85211,0.77186,0.85769,0.52044,1.35237,0.79058,1.11877,0.000984864,0.000984864,0.000984864
64,2479.62,1.13159,0.7081,1.01706,0.82153,0.77986,0.84951,0.51516,1.32258,0.81684,1.1068,0.000973861,0.000973861,0.000973861
65,2517.94,1.13014,0.70485,1.02592,0.83687,0.79731,0.86438,0.52128,1.34771,0.80226,1.11751,0.000962859,0.000962859,0.000962859
66,2556.41,1.11357,0.68775,1.00673,0.84801,0.78299,0.8509,0.52044,1.35392,0.80047,1.1166,0.000951857,0.000951857,0.000951857
67,2594.78,1.10813,0.67882,1.00502,0.85133,0.77244,0.845,0.51711,1.33093,0.80329,1.10178,0.000940855,0.000940855,0.000940855
68,2633.17,1.10481,0.68033,1.01459,0.86424,0.77063,0.85946,0.53103,1.31508,0.77997,1.1098,0.000929853,0.000929853,0.000929853
69,2671.6,1.11199,0.68115,1.01525,0.85866,0.77418,0.85576,0.51992,1.34313,0.79166,1.10895,0.00091885,0.00091885,0.00091885
70,2710,1.08688,0.66548,1.0058,0.84782,0.76531,0.83779,0.51386,1.34907,0.79434,1.10965,0.000907848,0.000907848,0.000907848
71,2748.4,1.08231,0.66618,0.99674,0.86611,0.78145,0.85485,0.527,1.33317,0.79471,1.1036,0.000896846,0.000896846,0.000896846
72,2786.78,1.08658,0.6733,1.00591,0.84275,0.78888,0.85189,0.52496,1.31402,0.77865,1.10149,0.000885844,0.000885844,0.000885844
73,2825.18,1.07812,0.65349,0.99815,0.86576,0.77558,0.86141,0.53669,1.3053,0.75271,1.09185,0.000874842,0.000874842,0.000874842
74,2863.62,1.06044,0.63995,0.99228,0.84478,0.79453,0.84658,0.52518,1.31846,0.78269,1.10589,0.000863839,0.000863839,0.000863839
75,2902.01,1.07646,0.64631,0.9971,0.84066,0.77272,0.83382,0.51376,1.32824,0.80523,1.11282,0.000852837,0.000852837,0.000852837
76,2940.36,1.05374,0.63708,0.99461,0.84196,0.80792,0.86601,0.541,1.27359,0.74163,1.08673,0.000841835,0.000841835,0.000841835
77,2978.79,1.05398,0.64715,0.99,0.84998,0.79725,0.86348,0.53273,1.30586,0.75705,1.10291,0.000830833,0.000830833,0.000830833
78,3017.26,1.05149,0.64126,0.98937,0.83976,0.80141,0.8622,0.53127,1.31367,0.76892,1.10101,0.000819831,0.000819831,0.000819831
79,3055.61,1.04392,0.64395,0.99017,0.84526,0.80827,0.86412,0.53959,1.27685,0.74696,1.09186,0.000808828,0.000808828,0.000808828
80,3093.94,1.03999,0.62102,0.98176,0.85757,0.80477,0.86338,0.54416,1.2868,0.73985,1.102,0.000797826,0.000797826,0.000797826
81,3132.41,1.05247,0.62806,0.99295,0.84622,0.80895,0.85961,0.53486,1.30128,0.75031,1.09786,0.000786824,0.000786824,0.000786824
82,3170.75,1.02887,0.61623,0.97627,0.86896,0.80044,0.87292,0.53853,1.28723,0.72634,1.10516,0.000775822,0.000775822,0.000775822
83,3209.08,1.02095,0.61733,0.97296,0.84522,0.81078,0.8657,0.53697,1.29298,0.74735,1.09356,0.00076482,0.00076482,0.00076482
84,3247.43,1.02345,0.61578,0.97868,0.82272,0.80871,0.85326,0.52757,1.28608,0.75141,1.0951,0.000753817,0.000753817,0.000753817
85,3285.79,1.00357,0.60742,0.97456,0.86273,0.79908,0.86239,0.53421,1.28748,0.75739,1.08795,0.000742815,0.000742815,0.000742815
86,3324.16,1.01662,0.60187,0.97086,0.84733,0.82202,0.85885,0.54037,1.27008,0.74791,1.08767,0.000731813,0.000731813,0.000731813
87,3362.49,0.99636,0.59359,0.96882,0.85708,0.79762,0.85694,0.5324,1.30094,0.75969,1.09974,0.000720811,0.000720811,0.000720811
88,3400.86,0.99313,0.60042,0.96742,0.86344,0.7971,0.85991,0.53776,1.27677,0.75794,1.08358,0.000709809,0.000709809,0.000709809
89,3441.13,0.98888,0.58567,0.96256,0.85204,0.79537,0.85525,0.53419,1.26977,0.74114,1.08837,0.000698806,0.000698806,0.000698806
