epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,634.679,0.87855,0.52928,0.92621,0.83275,0.73167,0.83342,0.4887,1.51119,0.83195,1.23363,0.000808828,0.000808828,0.000808828
80,642.366,0.89735,0.53664,0.95318,0.77621,0.79228,0.83286,0.50092,1.45144,0.76924,1.18885,0.000797826,0.000797826,0.000797826
81,650.032,0.87204,0.53378,0.93244,0.85365,0.73551,0.81965,0.49271,1.39323,0.81462,1.18511,0.000786824,0.000786824,0.000786824
82,657.713,0.87089,0.54008,0.92686,0.83973,0.76427,0.84026,0.49904,1.35319,0.76174,1.19261,0.000775822,0.000775822,0.000775822
83,665.388,0.84514,0.51586,0.92812,0.86124,0.74141,0.84119,0.5056,1.34669,0.77106,1.19742,0.00076482,0.00076482,0.00076482
84,673.081,0.86316,0.51591,0.92123,0.86338,0.78179,0.86251,0.50038,1.33541,0.76252,1.19952,0.000753817,0.000753817,0.000753817
85,680.784,0.84944,0.50587,0.92381,0.81577,0.78983,0.84748,0.48185,1.336,0.81094,1.21278,0.000742815,0.000742815,0.000742815
86,688.444,0.8414,0.51241,0.92774,0.84578,0.74992,0.84191,0.49834,1.34539,0.83921,1.18661,0.000731813,0.000731813,0.000731813
87,696.203,0.84703,0.51922,0.91764,0.84814,0.77527,0.85174,0.49828,1.33048,0.78944,1.1771,0.000720811,0.000720811,0.000720811
88,703.969,0.83249,0.49711,0.93282,0.8424,0.78394,0.84707,0.49983,1.39713,0.77404,1.18195,0.000709809,0.000709809,0.000709809
89,711.62,0.85173,0.5074,0.92385,0.83761,0.77207,0.81568,0.47916,1.41042,0.8162,1.2066,0.000698806,0.000698806,0.000698806
90,719.255,0.80492,0.49266,0.92005,0.86746,0.78722,0.8478,0.5099,1.35174,0.78735,1.19777,0.000687804,0.000687804,0.000687804
91,727.028,0.80983,0.48602,0.91805,0.85629,0.80161,0.85526,0.50951,1.41471,0.76422,1.20427,0.000676802,0.000676802,0.000676802
92,734.695,0.80559,0.49242,0.91221,0.78266,0.79737,0.83249,0.49349,1.37528,0.73266,1.19689,0.0006658,0.0006658,0.0006658
93,742.351,0.79664,0.48239,0.9126,0.8427,0.81577,0.86486,0.50036,1.42891,0.77293,1.21365,0.000654798,0.000654798,0.000654798
94,749.982,0.78244,0.48291,0.90643,0.87551,0.7237,0.83961,0.51319,1.50329,0.78505,1.20533,0.000643795,0.000643795,0.000643795
95,757.725,0.80092,0.4746,0.91097,0.87121,0.77837,0.85497,0.52536,1.40388,0.74703,1.16958,0.000632793,0.000632793,0.000632793
96,765.628,0.77571,0.47915,0.90929,0.8192,0.79567,0.85192,0.51051,1.33362,0.80276,1.18119,0.000621791,0.000621791,0.000621791
97,773.317,0.75163,0.45772,0.91005,0.83127,0.76745,0.85684,0.5156,1.34733,0.79951,1.17175,0.000610789,0.000610789,0.000610789
98,780.94,0.76454,0.45953,0.9093,0.8862,0.76564,0.86151,0.52658,1.40996,0.78299,1.17491,0.000599787,0.000599787,0.000599787
99,788.701,0.76126,0.46521,0.90383,0.85768,0.78827,0.86294,0.502,1.40985,0.81661,1.20606,0.000588784,0.000588784,0.000588784
100,796.45,0.77577,0.46112,0.90844,0.87627,0.76432,0.83156,0.50327,1.30096,0.75055,1.17425,0.000577782,0.000577782,0.000577782
101,804.089,0.78359,0.47014,0.89646,0.85799,0.76595,0.81882,0.49707,1.37586,0.76795,1.17894,0.00056678,0.00056678,0.00056678
102,811.743,0.76715,0.46565,0.89988,0.84837,0.77374,0.83946,0.51318,1.37999,0.77547,1.18899,0.000555778,0.000555778,0.000555778
