epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2442.44,1.05217,0.68968,1.04049,0.81745,0.7351,0.80007,0.4818,1.42373,0.91869,1.15112,0.000885844,0.000885844,0.000885844
73,2476.32,1.05093,0.69728,1.02809,0.82044,0.73244,0.80252,0.47702,1.44325,0.91301,1.16025,0.000874842,0.000874842,0.000874842
74,2510.05,1.02759,0.67287,1.02312,0.8293,0.75559,0.82007,0.47892,1.42288,0.86951,1.16162,0.000863839,0.000863839,0.000863839
75,2543.76,1.04375,0.68089,1.02171,0.82955,0.7723,0.83422,0.489,1.43164,0.87412,1.1589,0.000852837,0.000852837,0.000852837
76,2577.52,1.01758,0.66294,1.01592,0.84554,0.72874,0.80786,0.48018,1.42851,0.90218,1.15885,0.000841835,0.000841835,0.000841835
77,2611.25,1.01422,0.6551,1.01617,0.8187,0.7467,0.81077,0.47837,1.44601,0.9199,1.16965,0.000830833,0.000830833,0.000830833
78,2644.98,1.0243,0.67039,1.02564,0.84114,0.76011,0.81369,0.47688,1.44602,0.85651,1.15374,0.000819831,0.000819831,0.000819831
79,2678.7,1.00644,0.67029,1.01097,0.83194,0.75916,0.82391,0.48452,1.43465,0.88267,1.14647,0.000808828,0.000808828,0.000808828
80,2712.49,1.00187,0.65081,1.00766,0.82833,0.77481,0.82135,0.48618,1.42821,0.86598,1.14846,0.000797826,0.000797826,0.000797826
81,2746.28,0.98935,0.63698,1.00265,0.81243,0.76424,0.81318,0.48864,1.40802,0.8722,1.14893,0.000786824,0.000786824,0.000786824
82,2780.05,1.00941,0.64598,1.00839,0.88067,0.75242,0.83102,0.49076,1.39461,0.86518,1.14226,0.000775822,0.000775822,0.000775822
83,2814.63,0.98454,0.63941,1.00258,0.82178,0.76028,0.80443,0.47275,1.47094,0.88731,1.15697,0.00076482,0.00076482,0.00076482
84,2847.71,0.96642,0.62381,0.98653,0.86413,0.75091,0.82297,0.49665,1.40223,0.8642,1.13837,0.000753817,0.000753817,0.000753817
85,2880.89,0.97156,0.62451,0.99001,0.83282,0.76708,0.82549,0.49234,1.3978,0.87802,1.14372,0.000742815,0.000742815,0.000742815
86,2914.01,0.98203,0.63731,1.00056,0.83527,0.75693,0.82273,0.48954,1.40102,0.86748,1.14319,0.000731813,0.000731813,0.000731813
87,2947.16,0.98124,0.62147,0.99682,0.82709,0.78118,0.82081,0.49152,1.40629,0.84859,1.15239,0.000720811,0.000720811,0.000720811
88,2980.24,0.98222,0.61461,1.00778,0.83719,0.7468,0.81998,0.48184,1.45434,0.89403,1.16579,0.000709809,0.000709809,0.000709809
89,3013.37,0.94686,0.60756,0.99189,0.82128,0.76828,0.82476,0.50132,1.37301,0.87078,1.14393,0.000698806,0.000698806,0.000698806
90,3046.54,0.95574,0.60948,0.98998,0.8123,0.7559,0.80558,0.47345,1.43858,0.8974,1.16345,0.000687804,0.000687804,0.000687804
91,3079.65,0.95505,0.59512,0.98912,0.85526,0.75737,0.82271,0.49633,1.39416,0.8642,1.14714,0.000676802,0.000676802,0.000676802
